Day,Depth,Temperature
12,4.003,11.71694186
12,4.503,11.37333965
12,5.003,10.94321656
12,5.503,10.5313907
12,6.003,10.13179613
12,6.503,9.771423925
12,7.003,9.480140216
12,7.503,9.423671784
12,8.003,9.367131445
12,8.503,9.315148366
12,9.003,9.28186608
12,9.503,9.263583915
12,10.003,9.226678155
12,10.503,9.19741748
12,11.003,9.175606794
12,11.503,9.141979989
12,12.003,9.104518967
12,12.503,9.073535565
12,13.003,9.04167104
12,13.503,9.000641463
12,14.003,8.967486029
12,14.503,8.927007681
12,15.003,8.881768853
12,15.503,8.855924147
12,16.003,8.825804797
12,16.503,8.788166476
12,17.003,8.769846535
12,17.503,8.750778108
12,18.003,8.731948299
13,2.003,12.42700739
13,2.503,12.2702427
13,3.003,12.14214273
13,3.503,12.02076456
13,4.003,11.71694186
13,4.503,11.37333965
13,5.003,10.94321656
13,5.503,10.5313907
13,6.003,10.13179613
13,6.503,9.771423925
13,7.003,9.480140216
13,7.503,9.423671784
13,8.003,9.367131445
13,8.503,9.315148366
13,9.003,9.28186608
13,9.503,9.263583915
13,10.003,9.226678155
13,10.503,9.19741748
13,11.003,9.175606794
13,11.503,9.141979989
13,12.003,9.104518967
13,12.503,9.073535565
13,13.003,9.04167104
13,13.503,9.000641463
13,14.003,8.967486029
13,14.503,8.927007681
13,15.003,8.881768853
13,15.503,8.855924147
13,16.003,8.825804797
13,16.503,8.788166476
13,17.003,8.769846535
13,17.503,8.750778108
13,18.003,8.731948299
14,2.003,12.42700739
14,2.503,12.2702427
14,3.003,12.14214273
14,3.503,12.02076456
14,4.003,11.71694186
14,4.503,11.37333965
14,5.003,10.94321656
14,5.503,10.5313907
14,6.003,10.13179613
14,6.503,9.771423925
14,7.003,9.480140216
14,7.503,9.423671784
14,8.003,9.367131445
14,8.503,9.315148366
14,9.003,9.28186608
14,9.503,9.263583915
14,10.003,9.226678155
14,10.503,9.19741748
14,11.003,9.175606794
14,11.503,9.141979989
14,12.003,9.104518967
14,12.503,9.073535565
14,13.003,9.04167104
14,13.503,9.000641463
14,14.003,8.967486029
14,14.503,8.927007681
14,15.003,8.881768853
14,15.503,8.855924147
14,16.003,8.825804797
14,16.503,8.788166476
14,17.003,8.769846535
14,17.503,8.750778108
14,18.003,8.731948299
15,2.003,12.42700739
15,2.503,12.2702427
15,3.003,12.14214273
15,3.503,12.02076456
15,4.003,11.71694186
15,4.503,11.37333965
15,5.003,10.94321656
15,5.503,10.5313907
15,6.003,10.13179613
15,6.503,9.771423925
15,7.003,9.480140216
15,7.503,9.423671784
15,8.003,9.367131445
15,8.503,9.315148366
15,9.003,9.28186608
15,9.503,9.263583915
15,10.003,9.226678155
15,10.503,9.19741748
15,11.003,9.175606794
15,11.503,9.141979989
15,12.003,9.104518967
15,12.503,9.073535565
15,13.003,9.04167104
15,13.503,9.000641463
15,14.003,8.967486029
15,14.503,8.927007681
15,15.003,8.881768853
15,15.503,8.855924147
15,16.003,8.825804797
15,16.503,8.788166476
15,17.003,8.769846535
15,17.503,8.750778108
15,18.003,8.731948299
16,2.003,12.42700739
16,2.503,12.2702427
16,3.003,12.14214273
16,3.503,12.02076456
16,4.003,11.71694186
16,4.503,11.37333965
16,5.003,10.94321656
16,5.503,10.5313907
16,6.003,10.13179613
16,6.503,9.771423925
16,7.003,9.480140216
16,7.503,9.423671784
16,8.003,9.367131445
16,8.503,9.315148366
16,9.003,9.28186608
16,9.503,9.263583915
16,10.003,9.226678155
16,10.503,9.19741748
16,11.003,9.175606794
16,11.503,9.141979989
16,12.003,9.104518967
16,12.503,9.073535565
16,13.003,9.04167104
16,13.503,9.000641463
16,14.003,8.967486029
16,14.503,8.927007681
16,15.003,8.881768853
16,15.503,8.855924147
16,16.003,8.825804797
16,16.503,8.788166476
16,17.003,8.769846535
16,17.503,8.750778108
16,18.003,8.731948299
17,2.003,12.42700739
17,2.503,12.2702427
17,3.003,12.14214273
17,3.503,12.02076456
17,4.003,11.71694186
17,4.503,11.37333965
17,5.003,10.94321656
17,5.503,10.5313907
17,6.003,10.13179613
17,6.503,9.771423925
17,7.003,9.480140216
17,7.503,9.423671784
17,8.003,9.367131445
17,8.503,9.315148366
17,9.003,9.28186608
17,9.503,9.263583915
17,10.003,9.226678155
17,10.503,9.19741748
17,11.003,9.175606794
17,11.503,9.141979989
17,12.003,9.104518967
17,12.503,9.073535565
17,13.003,9.04167104
17,13.503,9.000641463
17,14.003,8.967486029
17,14.503,8.927007681
17,15.003,8.881768853
